Testcase,Algorithm,Nodes,Edges,MaxFlow,RuntimeMs
bottleneck-1000-0.in,Edmonds-Karp,1000,995010,3141659114,8
bottleneck-1000-0.in,Scaling,1000,995010,3141659114,570
bottleneck-1000-0.in,Dinic,1000,995010,3141659114,5
bottleneck-1000-0.in,Dinic-Scaling,1000,995010,3141659114,5
bottleneck-1000-0.in,ISAP,1000,995010,3141659114,5
bottleneck-1000-0.in,MPM,1000,995010,3141659114,12
bottleneck-1000-0.in,Push-Relabel,1000,995010,3141659114,6
bottleneck-1000-0.in,Push-Relabel-Highest,1000,995010,3141659114,4
bottleneck-1000-0.in,Push-Relabel-Gap,1000,995010,3141659114,5
bottleneck-1000-0.in,Push-Relabel-HG,1000,995010,3141659114,3
bottleneck-1000-0.in,HLPP,1000,995010,3141659114,3
bottleneck-1000-1.in,Edmonds-Karp,1000,995010,3414207803,8
bottleneck-1000-1.in,Scaling,1000,995010,3414207803,574
bottleneck-1000-1.in,Dinic,1000,995010,3414207803,6
bottleneck-1000-1.in,Dinic-Scaling,1000,995010,3414207803,6
bottleneck-1000-1.in,ISAP,1000,995010,3414207803,5
bottleneck-1000-1.in,MPM,1000,995010,3414207803,19
bottleneck-1000-1.in,Push-Relabel,1000,995010,3414207803,6
bottleneck-1000-1.in,Push-Relabel-Highest,1000,995010,3414207803,4
bottleneck-1000-1.in,Push-Relabel-Gap,1000,995010,3414207803,5
bottleneck-1000-1.in,Push-Relabel-HG,1000,995010,3414207803,3
bottleneck-1000-1.in,HLPP,1000,995010,3414207803,3
bottleneck-1200-0.in,Edmonds-Karp,1200,1434010,3141659314,11
bottleneck-1200-0.in,Scaling,1200,1434010,3141659314,1044
bottleneck-1200-0.in,Dinic,1200,1434010,3141659314,8
bottleneck-1200-0.in,Dinic-Scaling,1200,1434010,3141659314,9
bottleneck-1200-0.in,ISAP,1200,1434010,3141659314,9
bottleneck-1200-0.in,MPM,1200,1434010,3141659314,18
bottleneck-1200-0.in,Push-Relabel,1200,1434010,3141659314,10
bottleneck-1200-0.in,Push-Relabel-Highest,1200,1434010,3141659314,6
bottleneck-1200-0.in,Push-Relabel-Gap,1200,1434010,3141659314,7
bottleneck-1200-0.in,Push-Relabel-HG,1200,1434010,3141659314,4
bottleneck-1200-0.in,HLPP,1200,1434010,3141659314,6
