Testcase,Algorithm,Nodes,Edges,Matching,RuntimeMs
cuplaj-0.in,HopcroftKarp0,20,24,9,0
cuplaj-0.in,HopcroftKarp1,20,24,9,0
cuplaj-1.in,HopcroftKarp0,18904,100000,8906,3
cuplaj-1.in,HopcroftKarp1,18904,100000,8906,2
cuplaj-2.in,HopcroftKarp0,41,40,13,0
cuplaj-2.in,HopcroftKarp1,41,40,13,0
cuplaj-3.in,HopcroftKarp0,82,111,36,0
cuplaj-3.in,HopcroftKarp1,82,111,36,0
cuplaj-4.in,HopcroftKarp0,542,577,217,0
cuplaj-4.in,HopcroftKarp1,542,577,217,0
cuplaj-5.in,HopcroftKarp0,1076,2111,375,0
cuplaj-5.in,HopcroftKarp1,1076,2111,375,0
cuplaj-6.in,HopcroftKarp0,6053,10000,2782,0
cuplaj-6.in,HopcroftKarp1,6053,10000,2782,0
cuplaj-7.in,HopcroftKarp0,8900,30000,4098,0
cuplaj-7.in,HopcroftKarp1,8900,30000,4098,0
cuplaj-8.in,HopcroftKarp0,11462,20000,5477,2
cuplaj-8.in,HopcroftKarp1,11462,20000,5477,1
cuplaj-9.in,HopcroftKarp0,17462,42000,7647,2
cuplaj-9.in,HopcroftKarp1,17462,42000,7647,1
cycles-0.in,HopcroftKarp0,20000,20000,10000,1
cycles-0.in,HopcroftKarp1,20000,20000,10000,1
cycles-1.in,HopcroftKarp0,20000,20000,10000,1
cycles-1.in,HopcroftKarp1,20000,20000,10000,0
cycles-2.in,HopcroftKarp0,100000,100000,50000,18
cycles-2.in,HopcroftKarp1,100000,100000,50000,10
cycles-3.in,HopcroftKarp0,100000,100000,50000,15
cycles-3.in,HopcroftKarp1,100000,100000,50000,8
cycles-4.in,HopcroftKarp0,200000,200000,100000,33
cycles-4.in,HopcroftKarp1,200000,200000,100000,19
cycles-5.in,HopcroftKarp0,200000,200000,100000,41
cycles-5.in,HopcroftKarp1,200000,200000,100000,24
cycles-6.in,HopcroftKarp0,400000,400000,200000,84
cycles-6.in,HopcroftKarp1,400000,400000,200000,49
cycles-7.in,HopcroftKarp0,400000,400000,200000,88
cycles-7.in,HopcroftKarp1,400000,400000,200000,50
khun-killer-0.in,HopcroftKarp0,200000,199999,100000,7
khun-killer-0.in,HopcroftKarp1,200000,199999,100000,2
khun-killer-1.in,HopcroftKarp0,200000,199999,100000,7
khun-killer-1.in,HopcroftKarp1,200000,199999,100000,2
khun-killer-2.in,HopcroftKarp0,200000,199999,100000,7
khun-killer-2.in,HopcroftKarp1,200000,199999,100000,2
khun-killer-3.in,HopcroftKarp0,200000,199999,100000,7
khun-killer-3.in,HopcroftKarp1,200000,199999,100000,2
khun-killer-4.in,HopcroftKarp0,200000,199999,100000,7
khun-killer-4.in,HopcroftKarp1,200000,199999,100000,2
khun-killer-5.in,HopcroftKarp0,400000,399999,200000,15
khun-killer-5.in,HopcroftKarp1,400000,399999,200000,4
khun-killer-6.in,HopcroftKarp0,400000,399999,200000,15
khun-killer-6.in,HopcroftKarp1,400000,399999,200000,4
khun-killer-7.in,HopcroftKarp0,400000,399999,200000,15
khun-killer-7.in,HopcroftKarp1,400000,399999,200000,4
khun-killer-8.in,HopcroftKarp0,400000,399999,200000,17
khun-killer-8.in,HopcroftKarp1,400000,399999,200000,4
khun-killer-9.in,HopcroftKarp0,400000,399999,200000,15
khun-killer-9.in,HopcroftKarp1,400000,399999,200000,4
large-0.in,HopcroftKarp0,74998,74995,37498,2
large-0.in,HopcroftKarp1,74998,74995,37498,0
large-1.in,HopcroftKarp0,149998,149995,74998,4
large-1.in,HopcroftKarp1,149998,149995,74998,0
large-2.in,HopcroftKarp0,199990,199987,99994,12
large-2.in,HopcroftKarp1,199990,199987,99994,2
large-3.in,HopcroftKarp0,199990,199987,99994,6
large-3.in,HopcroftKarp1,199990,199987,99994,1
large-4.in,HopcroftKarp0,199990,199987,99994,6
large-4.in,HopcroftKarp1,199990,199987,99994,1
large-5.in,HopcroftKarp0,74998,74995,37498,2
large-5.in,HopcroftKarp1,74998,74995,37498,0
large-6.in,HopcroftKarp0,149998,149995,74998,4
large-6.in,HopcroftKarp1,149998,149995,74998,0
large-7.in,HopcroftKarp0,224998,224995,112498,14
large-7.in,HopcroftKarp1,224998,224995,112498,2
large-8.in,HopcroftKarp0,299998,299995,149998,9
large-8.in,HopcroftKarp1,299998,299995,149998,1
large-9.in,HopcroftKarp0,374998,374995,187498,12
large-9.in,HopcroftKarp1,374998,374995,187498,2
layer-0.in,HopcroftKarp0,114688,159744,57344,18
layer-0.in,HopcroftKarp1,114688,159744,57344,9
layer-1.in,HopcroftKarp0,114688,159744,57344,6
layer-1.in,HopcroftKarp1,114688,159744,57344,1
layer-2.in,HopcroftKarp0,114688,159744,57344,5
layer-2.in,HopcroftKarp1,114688,159744,57344,0
layer-3.in,HopcroftKarp0,114688,159744,57344,19
layer-3.in,HopcroftKarp1,114688,159744,57344,9
layer-4.in,HopcroftKarp0,114688,159744,57344,6
layer-4.in,HopcroftKarp1,114688,159744,57344,2
line-0.in,HopcroftKarp0,20000,19999,10000,0
line-0.in,HopcroftKarp1,20000,19999,10000,0
line-1.in,HopcroftKarp0,20000,19999,10000,0
line-1.in,HopcroftKarp1,20000,19999,10000,0
line-2.in,HopcroftKarp0,100000,99999,50000,5
line-2.in,HopcroftKarp1,100000,99999,50000,0
line-3.in,HopcroftKarp0,100000,99999,50000,4
line-3.in,HopcroftKarp1,100000,99999,50000,0
line-4.in,HopcroftKarp0,200000,199999,100000,11
line-4.in,HopcroftKarp1,200000,199999,100000,1
line-5.in,HopcroftKarp0,200000,199999,100000,11
line-5.in,HopcroftKarp1,200000,199999,100000,1
line-6.in,HopcroftKarp0,400000,399999,200000,24
line-6.in,HopcroftKarp1,400000,399999,200000,3
line-7.in,HopcroftKarp0,400000,399999,200000,24
line-7.in,HopcroftKarp1,400000,399999,200000,3
linernd-0.in,HopcroftKarp0,20000,19999,10000,0
linernd-0.in,HopcroftKarp1,20000,19999,10000,0
linernd-1.in,HopcroftKarp0,20000,19999,10000,0
linernd-1.in,HopcroftKarp1,20000,19999,10000,0
linernd-2.in,HopcroftKarp0,100000,99999,50000,15
linernd-2.in,HopcroftKarp1,100000,99999,50000,8
linernd-3.in,HopcroftKarp0,100000,99999,50000,16
linernd-3.in,HopcroftKarp1,100000,99999,50000,8
